".smooth",".type",".by",".estimate",".se","nitrogen","phosphorus","nymph_density_total_count","longitude","latitude","ecoregion"
"s(nitrogen)","TPRS",NA,-0.172759225506396,0.036612052768168,0.199392709669262,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.179985129063327,0.0368731852724583,0.203138769801777,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.186815196266738,0.0371137915251577,0.206884829934292,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.193301446475699,0.0373280425977065,0.210630890066807,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.199496183311663,0.0375208144743813,0.214376950199322,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.205450327612111,0.0377067633458463,0.218123010331837,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.211212207173462,0.0379066998042243,0.221869070464353,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.216827021036029,0.0381410911794923,0.225615130596868,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.222336714971457,0.0384238216995516,0.229361190729383,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.227779578605481,0.0387590793125519,0.233107250861898,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.233190214429663,0.0391410585770896,0.236853310994413,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.23859831029011,0.0395585104008233,0.240599371126928,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.24402848657013,0.0399994202627292,0.244345431259443,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.249500496478351,0.0404547153377666,0.248091491391958,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.255028623453309,0.0409212761510132,0.251837551524473,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.260621023896062,0.0414026360903322,0.255583611656988,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.266279898338246,0.0419062458998306,0.259329671789504,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.272000780463893,0.042440342877701,0.263075731922019,NA,NA,NA,NA,NA
