".smooth",".type",".by",".estimate",".se","bio12","nymph_density_total_count","longitude","latitude","ecoregion"
"s(bio12)","TPRS",NA,-0.00299420616960563,0.0263471771091918,128,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00314614988868746,0.0262437022899206,135.111111111111,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00329817069981517,0.0261460635594383,142.222222222222,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00345040908833204,0.0260540173575239,149.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00360301866174113,0.0259671352136525,156.444444444444,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0037561072078136,0.025884838333227,163.555555555556,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00390968474633308,0.0258064509895997,170.666666666667,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0040636176225723,0.0257312670267425,177.777777777778,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00421759128552235,0.0256586201023139,184.888888888889,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00437108350262538,0.0255879472888751,192,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00452334927937193,0.0255188349503785,199.111111111111,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00467341599411072,0.0254510415311204,206.222222222222,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00482009300770913,0.0253844925666972,213.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00496199053897029,0.0253192541682025,220.444444444444,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0050975480803644,0.025255491354632,227.555555555556,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00522507378753599,0.0251934193190383,234.666666666667,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.005342790554656,0.0251332585943896,241.777777777778,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0054488879004628,0.0250752010205208,248.888888888889,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00554157618995756,0.0250193913728168,256,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00561914126544092,0.02496592296274,263.111111111111,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00567999751915702,0.0249148443422423,270.222222222222,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00572273496078576,0.0248661713066377,277.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00574616274425454,0.0248198990102146,284.444444444444,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00574934278311614,0.0247760103144008,291.555555555556,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00573161511384512,0.0247344788151595,298.666666666667,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00569261074503925,0.0246952677229107,305.777777777778,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00563225628303748,0.0246583273696313,312.888888888889,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00555076409542923,0.0246235945672976,320,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00544861698142192,0.0245909964681385,327.111111111111,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00532654285774622,0.0245604591841603,334.222222222222,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00518548195369562,0.02453191990567,341.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00502654717552871,0.0245053389199351,348.444444444444,NA,NA,NA,NA
