".smooth",".type",".by",".estimate",".se","bio12","nymph_density_total_count","longitude","latitude","ecoregion"
"s(bio12)","TPRS",NA,0.000825153973948615,0.0378561525569974,363.787878787879,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-2.71167733694769e-05,0.0378071416913437,371.090909090909,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.000856680478704523,0.0377696177975374,378.393939393939,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00166216597983126,0.0377439256167101,385.69696969697,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00244251429732529,0.0377304814176587,393,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00319689211911107,0.0377296655752194,400.30303030303,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00392460021945968,0.037741718219167,407.606060606061,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00462497855565293,0.0377666974597355,414.909090909091,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00529731327344434,0.0378045185606781,422.212121212121,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00594073432102225,0.0378550164469176,429.515151515152,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00655418218240491,0.0379179898540578,436.818181818182,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0071363736629227,0.0379932737841775,444.121212121212,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00768581484070726,0.0380807806104151,451.424242424242,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00820082158696272,0.0381805234271906,458.727272727273,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00867955099561939,0.0382926232406244,466.030303030303,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0091200883219643,0.0384172335179888,473.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00952053105005241,0.0385544842771796,480.636363636364,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00987908037791983,0.0387044646192662,487.939393939394,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0101941673256911,0.0388672404705576,495.242424242424,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0104644943331911,0.0390428494634901,502.545454545455,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0106890731942421,0.039231299580382,509.848484848485,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0108673740847906,0.0394325905797812,517.151515151515,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0109993614110865,0.0396466873279285,524.454545454545,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0110854351861546,0.0398734577912602,531.757575757576,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0111263870288483,0.0401126131709678,539.060606060606,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0111233922241402,0.0403636782414778,546.363636363636,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0110779837440064,0.04062599842348,553.666666666667,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0109920071264079,0.0408988049439393,560.969696969697,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0108674995878911,0.0411812840599473,568.272727272727,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0107065897312357,0.0414727023157131,575.575757575758,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0105113985514747,0.0417725194735983,582.878787878788,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0102839687500454,0.042080402406962,590.181818181818,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0100261892600863,0.0423962602074569,597.484848484848,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00973976334691443,0.0427202089667964,604.787878787879,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00942621502948052,0.0430524729966736,612.090909090909,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00908687629382839,0.0433933153758326,619.393939393939,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00872288323030252,0.0437429750270109,626.69696969697,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00833517083154867,0.0441016121319265,634,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00792448227060778,0.0444692595506661,641.30303030303,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00749140187486255,0.0448457809140858,648.606060606061,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00703642985282897,0.0452308589896808,655.909090909091,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00656002392052206,0.0456239640307629,663.212121212121,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00606264931919998,0.0460243419801858,670.515151515152,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00554482268652333,0.0464309859349546,677.818181818182,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00500714165218957,0.0468426329824696,685.121212121212,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00445029878419532,0.0472577807755052,692.424242424242,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00387510319034498,0.0476747732737933,699.727272727273,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00328247167929297,0.0480919024338171,707.030303030303,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0026733843210846,0.0485074112746118,714.333333333333,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.00204886105425006,0.0489196404584648,721.636363636364,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.0014099522734119,0.0493272702000401,728.939393939394,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-0.000757715009729813,0.0497293490024304,736.242424242424,NA,NA,NA,NA
"s(bio12)","TPRS",NA,-9.31956063362518e-05,0.050125324357681,743.545454545455,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.000582583954335166,0.0505150932942455,750.848484848485,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00126863721093069,0.0508990468789401,758.151515151515,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00196400748282757,0.0512779602917736,765.454545454545,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00266776234472841,0.0516528755017669,772.757575757576,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00337900142839057,0.0520250944546676,780.060606060606,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00409684490024733,0.0523960875158379,787.363636363636,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00482041874612244,0.052767383775048,794.666666666667,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00554889263163535,0.053140622262674,801.969696969697,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00628151541870306,0.0535175579903419,809.272727272727,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00701761311818871,0.0539000049925666,816.575757575758,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00775656149645692,0.0542897281282606,823.878787878788,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00849780083058909,0.0546883967924204,831.181818181818,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00924083575353068,0.0550975374090523,838.484848484848,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.00998518718073516,0.0555185345373803,845.787878787879,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0107304734868932,0.0559524724857601,853.090909090909,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0114764234566158,0.0564001274118444,860.393939393939,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0122227746751149,0.056862152289344,867.69696969697,NA,NA,NA,NA
"s(bio12)","TPRS",NA,0.0129692836505859,0.0573390368057482,875,NA,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-1.64194408477444,0.0145837637206096,NA,1,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-1.10688892857161,0.0171744272684474,NA,3.06060606060606,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.850851385769207,0.0212172941640967,NA,5.12121212121212,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.426473246295503,0.0274980413974535,NA,7.18181818181818,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.246628699341016,0.0362207701329481,NA,9.24242424242424,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.148297019573199,0.0437589782112343,NA,11.3030303030303,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.0459438608496474,0.0576973314959053,NA,13.3636363636364,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.341452505167579,0.0728298917752776,NA,15.4242424242424,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.102414101833276,0.0815725717477294,NA,17.4848484848485,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.766660200875225,0.0859475591714421,NA,19.5454545454545,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.527687282570334,0.16765678652322,NA,21.6060606060606,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.154687158039403,0.163232530133709,NA,23.6666666666667,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.335541974047383,0.202029608466,NA,25.7272727272727,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.534967411052486,0.249975140914865,NA,27.7878787878788,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.315152408842647,0.244964034409711,NA,29.8484848484848,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-1.01046120871501,0.328019092133967,NA,31.9090909090909,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.390021730153393,0.250609288071778,NA,33.969696969697,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.528163902501249,0.259194909316101,NA,36.030303030303,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.14231629499743,0.297240325005585,NA,38.0909090909091,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.5327738421804,0.383163517476272,NA,40.1515151515151,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.72944262713842,0.43717686255021,NA,42.2121212121212,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.75118483904952,0.470400408848345,NA,44.2727272727273,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.61686266708393,0.421968045203479,NA,46.3333333333333,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.34649805548724,0.239819181632794,NA,48.3939393939394,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.23327541733739,0.345175778246758,NA,50.4545454545455,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.74876651705364,0.474494847980442,NA,52.5151515151515,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.49889857109013,0.467991440192098,NA,54.5757575757576,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.96889856341648,0.412479955199203,NA,56.6363636363636,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.64399347801112,0.342663429493978,NA,58.6969696969697,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.02888715905042,0.231278803122465,NA,60.7575757575758,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-1.44697766448172,0.298904035205001,NA,62.8181818181818,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-3.29904676643591,0.462755782842962,NA,64.8787878787879,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-4.26515643661203,0.538576102003902,NA,66.9393939393939,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-4.51280115215064,0.529120872456036,NA,69,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-4.20970490388097,0.458683109764643,NA,71.0606060606061,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-3.52359168267932,0.361912202266272,NA,73.1212121212121,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-2.62218547938341,0.292196886915008,NA,75.1818181818182,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-1.67316359706417,0.305761610822078,NA,77.2424242424242,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.804361175662395,0.384223192632804,NA,79.3030303030303,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.0311658965416282,0.480499075149606,NA,81.3636363636364,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.650730955720352,0.573636818866692,NA,83.4242424242424,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.24563809655709,0.656440450012308,NA,85.4848484848485,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.75786424133072,0.72649498914676,NA,87.5454545454545,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.19171810549939,0.783162662823606,NA,89.6060606060606,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.55150840447985,0.826557144149577,NA,91.6666666666667,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.84154385359076,0.85714928946044,NA,93.7272727272727,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.06613316837081,0.875597643429414,NA,95.7878787878788,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.22958506414232,0.882668797708225,NA,97.8484848484848,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.3362082563521,0.879197605195583,NA,99.9090909090909,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.39031146041121,0.866066863212401,NA,101.969696969697,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.39620339171957,0.844197546890937,NA,104.030303030303,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.35819276565566,0.814545585965288,NA,106.090909090909,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.28058829772754,0.778103538890909,NA,108.151515151515,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.16769870326421,0.735906859009301,NA,110.212121212121,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,3.02383269768107,0.689045419856996,NA,112.272727272727,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.85329899648753,0.638681871489917,NA,114.333333333333,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.66040631491293,0.586079322691461,NA,116.393939393939,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.44946336849327,0.532641517280829,NA,118.454545454545,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,2.22477887265153,0.479967874132018,NA,120.515151515152,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.99066154271256,0.429919741741625,NA,122.575757575758,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.75142009415831,0.384673835708762,NA,124.636363636364,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.51136324233535,0.346689240472354,NA,126.69696969697,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.2747997028096,0.318438571438856,NA,128.757575757576,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.04603819081434,0.301755574696075,NA,130.818181818182,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.829387421792802,0.296958514955639,NA,132.878787878788,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.629079473408858,0.302410963837642,NA,134.939393939394,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.447156862266944,0.315188961786581,NA,137,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.283205316574215,0.332380679527155,NA,139.060606060606,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.136680258430665,0.35164911019379,NA,141.121212121212,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.0070371102394482,0.371302682929989,NA,143.181818181818,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.106268705798378,0.390186644269345,NA,145.242424242424,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.203781767282113,0.407540392631989,NA,147.30303030303,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.286046652170924,0.422877987939016,NA,149.363636363636,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.35360793796502,0.435901788978615,NA,151.424242424242,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.407010202754247,0.446443623306925,NA,153.484848484848,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.446798023970512,0.4544255947266,NA,155.545454545455,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.473515979252916,0.459834124015907,NA,157.606060606061,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.48770864692618,0.462702755663668,NA,159.666666666667,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.489920604147489,0.463100792854152,NA,161.727272727273,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.480696428765739,0.461125877109157,NA,163.787878787879,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.4605806987854,0.456899321281452,NA,165.848484848485,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.430117991593871,0.45056345424693,NA,167.909090909091,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.389852885097358,0.442280530265864,NA,169.969696969697,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.340329957170411,0.432232952874404,NA,172.030303030303,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.282093785290424,0.420624696710352,NA,174.090909090909,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.215688947288683,0.407683897272076,NA,176.151515151515,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.141660021012473,0.393666619605991,NA,178.212121212121,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,-0.0605515844739273,0.378861794764728,NA,180.272727272727,NA,NA,NA
