".smooth",".type",".by",".estimate",".se","nitrogen","phosphorus","nymph_density_total_count","longitude","latitude","ecoregion"
"s(nitrogen)","TPRS",NA,0.0101255510296724,0.0237633107132428,0.197801040957198,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,0.00435813328730364,0.0237921249318691,0.201609199070603,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.00155032222569119,0.0238257205084828,0.205417357184007,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.00749210723946593,0.023864124457204,0.209225515297412,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0133531882034662,0.0239062632067486,0.213033673410816,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0190180158024192,0.0239502559283176,0.21684183152422,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0243745488043403,0.0239939938320588,0.220649989637625,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0293192305699119,0.024035826271874,0.224458147751029,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0337616569969401,0.0240751343097976,0.228266305864433,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0376286901421799,0.0241126002587872,0.232074463977838,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0408678012493778,0.0241500695068148,0.235882622091242,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0434494685594488,0.0241900241584458,0.239690780204647,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0453685065054892,0.024234812280987,0.243498938318051,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.046644260587709,0.0242858645078943,0.247307096431455,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0473196628999237,0.0243431505089145,0.25111525454486,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0474592033654965,0.0244050682672933,0.254923412658264,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0471459277619671,0.0244688326085613,0.258731570771669,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.046477622419091,0.0245312745828275,0.262539728885073,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0455623844263843,0.0245898300841021,0.266347886998477,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0445138033049366,0.0246434264645983,0.270156045111882,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0434459974984626,0.0246929893480333,0.273964203225286,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0424689997564576,0.0247413403427841,0.27777236133869,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0416843893111705,0.0247925565564855,0.281580519452095,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0411808575364711,0.0248510154335633,0.285388677565499,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0410310847980457,0.0249201549949662,0.289196835678904,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0412902374181283,0.025001363025169,0.293004993792308,NA,NA,NA,NA,NA
