"model","BIC","deltaBIC","AIC","deltaAIC","AICc","deltaAICc","experiment"
"mod1",-1959.5935760778,0,-2086.99343562136,0,-2021.87592856016,0,"locust_intake_target_through_time"
"mod2",-1907.26802927649,52.3255468013012,-1975.89133248558,111.102103135786,-1961.28459091254,60.5913376476221,"locust_intake_target_through_time"
"mod3",-1900.02556591434,59.5680101634525,-1919.24009081289,167.753344808476,-1918.19336184092,103.682566719241,"locust_intake_target_through_time"
"mod4",-1895.60380234189,63.9897737359101,-1914.81832724043,172.175108380933,-1913.77159826847,108.104330291698,"locust_intake_target_through_time"
"mod5",-1898.80690314114,60.7866729366526,-1912.53156378296,174.461871838402,-1911.98110506736,109.894823492801,"locust_intake_target_through_time"
