"model","BIC","deltaBIC","AIC","deltaAIC","AICc","deltaAICc","experiment"
"mod1",-2012.39376341215,69.4229761529075,-2223.96687701369,0,-2130.19591095999,54.6373964730542,"plant_nutrients_through_time"
"mod2",-2081.81673956506,0,-2214.47496923148,9.49190778220691,-2184.83330743304,0,"plant_nutrients_through_time"
"mod3",-2059.62348002243,22.1932595426333,-2157.26265536799,66.7042216457053,-2142.40947056934,42.4238368637011,"plant_nutrients_through_time"
"mod4",-2018.89237664667,62.9243629183952,-2084.49562021413,139.471256799557,-2078.16685309085,106.666454342194,"plant_nutrients_through_time"
"mod5",-1997.61195869158,84.2047808734762,-2013.2317785886,210.73509842509,-2012.86140821823,171.97189921481,"plant_nutrients_through_time"
