"variable","estimate","SE","p-value","EDF","statistic"
"Intercept",0.326187582463866,0.00720963716647499,0,NA,NA
"male",-0.147694272289736,0.00550686944564254,1.88844815162951e-158,NA,NA
"medium",0.0149350688657808,0.00951832602400883,0.116627980819119,NA,NA
"high",-0.011055250330735,0.0100951813146417,0.273472079176155,NA,NA
"s(carb_mg_mg,protein_mg_mg)",NA,NA,0.416404105029109,0.00166525715088514,0.00160692353014479
"s(cage_num)",NA,NA,1.78309497376183e-05,17.3992985268643,42.1603138166509
