"macronutrient","variable","estimate","SE","p-value"
"carbohydrate","Intercept",0.026441953006569,0.00206173010120352,1.18590150231775e-37
"carbohydrate","Mendooran",-0.00146409458404153,0.00208552442142544,0.482662286333855
"carbohydrate","diet pair B",0.00117264803160458,0.00208185002522877,0.573249614696316
"carbohydrate","male",-0.0109240318801966,0.00207617259059847,1.42791402045354e-07
"protein","Intercept",0.0135913655886812,0.00149979327633657,1.27893239790887e-19
"protein","Mendooran",-0.00234482233910607,0.00151710231279241,0.122202952698753
"protein","diet pair B",0.0015921120630254,0.00151442939517475,0.293123119138512
"protein","male",-0.00595170310992696,0.00151029937918459,8.12293026124223e-05
