"model","BIC","deltaBIC","AIC","deltaAIC","AICc","deltaAICc","experiment"
"mod1",-1201.01199836816,0.00871771375386743,-1225.59190606865,0.00398156382811976,-1220.9584438161,0.00586486901602257,"choice_experiment"
"mod2",-1193.74160304919,7.27911303272003,-1222.78498760896,2.81090002352562,-1216.16680579077,4.797502894339,"choice_experiment"
"mod3",-1201.02071608191,0,-1225.59588763248,0,-1220.96430868511,0,"choice_experiment"
"mod4",-1198.46427557142,2.55644051048807,-1209.63480809441,15.9610795380715,-1208.68242714203,12.2818815430842,"choice_experiment"
