"term","contrast","null.value","estimate","std.error","df","statistic","adj.p.value"
"diet","14p:28c - 21p:21c",0,-0.916566253001162,0.624425728342902,48,-1.46785472058229,0.46450148093381
"diet","14p:28c - 35p:7c",0,-1.70905983619623,0.664529283444386,48,-2.57183525056688,0.0616767548024152
"diet","14p:28c - 7p:35c",0,-2.71574682074834,0.6027780431792,48,-4.50538444702601,0.000241901282387658
"diet","21p:21c - 35p:7c",0,-0.792493583195063,0.609282343112532,48,-1.30070006484447,0.567002412190606
"diet","21p:21c - 7p:35c",0,-1.79918056774718,0.571245374556663,48,-3.14957573029541,0.0144474485069679
"diet","35p:7c - 7p:35c",0,-1.00668698455211,0.619032081999815,48,-1.62622748291164,0.373905841482691
